currency,withdrawal_fee
SYS,0.001
HSR,0.0001
SC,0.1
POA,0.01
XVG,0.1
XLM,0.01
KMD,0.002
VIA,0.01
STEEM,0.01
NANO,0.01
ICX,0.02
BTG,0.001
NEBL,0.01
SKY,0.01
ZEN,0.002
QTUM,0.01
NAV,0.2
XRP,0.25
GRS,0.2
ETC,0.01
WAN,0.1
STRAT,0.1
XZC,0.02
LSK,0.1
DASH,0.002
BCC,0.001
LTC,0.01
GXS,0.3
ZEC,0.005
RDN,2.9
ADX,5.4
EVX,3.8
BQX,2.4
APPC,14.5
AST,18.7
ZRX,2.4
SUB,12.7
BRD,6.7
ARN,4.5
MCO,0.36
PPT,0.46
LUN,0.37
MTL,2.1
POWR,8.2
GNT,9.1
AMB,9.7
BCPT,15.8
CVC,14.6
AGI,33.62
ENG,2.3
ICN,4.7
LOOM,14.6
BNB,0.23
DLT,31.8
OMG,0.4
GVT,0.31
CHAT,81.7
LINK,13.9
EDO,3.1
WPR,71.4
WTC,0.5
IOST,116.5
BLZ,9.6
VEN,1.5
LRC,10.4
AE,1.5
DGD,0.03
ELF,4.5
BNT,1.3
REP,0.1
MDA,4.4
USDT,3.9
BTC,0.0005
ETH,0.01
XMR,0.04
