currency,withdrawal_fee
XLM,0.00001
PINK,0.01
GRC,0.01
POT,0.01
FLO,0.01
HUC,0.01
VTC,0.001
EMC2,0.01
SYS,0.01
BLK,0.01
BTM,0.01
XBC,0.0001
VRC,0.01
CLAM,0.001
NAV,0.01
DGB,0.1
LBC,0.05
EXP,0.01
PPC,0.01
VIA,0.01
STEEM,0.01
XPM,0.01
NMC,0.01
STRAT,0.01
RADS,0.01
XRP,0.15
BCC,0.0001
LTC,0.001
ETC,0.01
ZEC,0.001
LSK,0.1
GNO,0.015
OMG,0.3
XMR,0.015
DASH,0.01
REP,0.1
BTC,0.0005
ETH,0.01
DCR,0.1
