currency,withdrawal_fee
1ST,4.500000000000000
2GIVE,0.010000000000000
8BIT,0.002000000000000
ABY,0.200000000000000
ADA,0.200000000000000
ADC,2.000000000000000
ADT,43.000000000000000
ADX,3.000000000000000
AEON,0.100000000000000
AGRS,5.000000000000000
AMP,5.000000000000000
AMS,1.000000000000000
ANT,1.300000000000000
APX,0.100000000000000
ARB,0.020000000000000
ARDR,2.000000000000000
ARK,0.100000000000000
AUR,0.002000000000000
BAT,10.000000000000000
BAY,0.200000000000000
BCC,0.001000000000000
BCPT,1.000000000000000
BCY,5.000000000000000
BITB,0.200000000000000
BITCNY,1.500000000000000
BITS,0.002000000000000
BITZ,0.020000000000000
BLC,0.200000000000000
BLITZ,0.020000000000000
BLK,0.020000000000000
BLOCK,0.020000000000000
BNT,0.850000000000000
BRK,0.020000000000000
BRX,0.020000000000000
BSD,0.002000000000000
BSTY,0.200000000000000
BTA,1.000000000000000
BTC,0.000500000000000
BTCD,0.020000000000000
BTCP,0.010000000000000
BTG,0.001000000000000
BTS,5.000000000000000
BURST,2.000000000000000
BYC,0.020000000000000
CANN,0.200000000000000
CCN,0.020000000000000
CFI,27.000000000000000
CLAM,0.200000000000000
CLOAK,0.020000000000000
CLUB,0.020000000000000
COVAL,200.000000000000000
CPC,0.200000000000000
CRB,8.000000000000000
CRW,0.020000000000000
CRYPT,0.020000000000000
CURE,0.000200000000000
CVC,8.000000000000000
DAR,0.100000000000000
DASH,0.002000000000000
DCR,0.100000000000000
DCT,0.100000000000000
DGB,0.200000000000000
DGC,0.200000000000000
DGD,0.038000000000000
DMD,0.002000000000000
DMT,1.000000000000000
DNT,29.000000000000000
DOGE,2.000000000000000
DOPE,0.002000000000000
DTB,5.000000000000000
DTC,0.200000000000000
DYN,0.020000000000000
EBST,0.100000000000000
EDG,3.500000000000000
EFL,0.200000000000000
EGC,0.200000000000000
EMC,0.020000000000000
EMC2,0.200000000000000
ENG,1.000000000000000
ENRG,0.200000000000000
ERC,0.200000000000000
ETC,0.010000000000000
ETH,0.006000000000000
EXCL,0.200000000000000
EXP,0.010000000000000
FAIR,0.020000000000000
FC2,0.020000000000000
FCT,0.010000000000000
FLDC,150.000000000000000
FLO,0.200000000000000
FRK,0.002000000000000
FTC,0.200000000000000
FUN,49.000000000000000
GAM,0.300000000000000
GAME,0.200000000000000
GBG,0.010000000000000
GBYTE,0.002000000000000
GCR,0.020000000000000
GEO,0.100000000000000
GLD,0.000200000000000
GNO,0.020000000000000
GNT,9.000000000000000
GOLOS,0.010000000000000
GP,0.200000000000000
GRC,0.200000000000000
GRS,0.200000000000000
GRT,20.000000000000000
GUP,7.000000000000000
HMQ,16.000000000000000
HYPER,0.020000000000000
IGNIS,2.000000000000000
INCNT,0.100000000000000
INFX,0.100000000000000
IOC,0.200000000000000
ION,0.200000000000000
IOP,0.200000000000000
J,0.020000000000000
KMD,0.002000000000000
KORE,0.020000000000000
LBC,0.020000000000000
LGD,4.000000000000000
LMC,0.200000000000000
LRC,1.000000000000000
LSK,0.100000000000000
LTC,0.010000000000000
LUN,0.150000000000000
MAID,2.000000000000000
MANA,36.000000000000000
MAX,0.200000000000000
MCO,0.500000000000000
MEC,1.000000000000000
MEME,0.020000000000000
MER,0.100000000000000
METAL,20.000000000000000
MLN,0.035000000000000
