currency,withdrawal_fee
XLM,0.00002
XRP,0.02
ZEC,0.0001
MLN,0.003
ETC,0.005
BCC,0.0001
LTC,0.001
ICN,0.2
REP,0.01
GNO,0.01
DASH,0.005
ETH,0.005
BTC,0.0005
XMR,0.05
